id,first_name,last_name,ship_addr_st,ship_addr_line2,ship_addr_city,ship_addr_region,postal_code,ship_addr_country,credit_card_type,credit_card_number,phone,email
de610c67-7b69-4f21-9701-dc08d54a09ff,Valentino,Doumerque,8 Ridgeview Point,Apt 56,Denver,Colorado,80223,United States,china-unionpay,560223624453656010,+1-303-486-8235,vdoumerquee@earthlink.net
19a1273a-7c7d-4f54-a370-dba288a49d32,Eliza,Huc,0682 Banding Lane,Suite 62,Northridge,California,91328,United States,solo,6767734200231631,+1-818-605-1970,ehucf@epa.gov
f2542617-21cc-4be3-a228-66c40bcd78c1,Winnie,Rissen,77328 Sachs Parkway,Room 696,Denver,Colorado,80243,United States,diners-club-carte-blanche,30198054931098,+1-303-270-0025,wrisseng@pinterest.com
7e2986ae-3cb3-43f6-9537-114f12326e2f,Harmonie,Dillway,4 Butternut Place,Suite 27,Shawnee Mission,Kansas,66220,United States,maestro,060431105500253497,+1-913-462-1448,hdillwayh@sciencedaily.com
324b04bf-f8ab-423d-8780-3c85f04afbe2,Laurice,Hapgood,28441 Loeprich Circle,14th Floor,Kansas City,Missouri,64190,United States,jcb,3587705637794149,+1-816-723-7544,lhapgoodi@reference.com
0810f54f-d0f9-4fa1-a5f8-5bb62adfc0ee,Pascale,Jenkinson,4340 3rd Street,Room 931,Davenport,Iowa,52804,United States,maestro,6759117937770965737,+1-563-191-4472,pjenkinsonj@dmoz.org
8340e577-75ca-451a-9166-e51600298ce7,Umeko,Horribine,6087 John Wall Plaza,Suite 62,Greensboro,North Carolina,27499,United States,diners-club-enroute,201985408089661,+1-336-419-4881,uhorribinek@noaa.gov
0097ce0e-9fcd-4614-b748-5ec85aab7216,Konstantine,Walburn,379 Vermont Center,6th Floor,Boston,Massachusetts,02203,United States,mastercard,5501141218019441,+1-617-663-0017,kwalburnl@cyberchimps.com
4ccc9f62-2112-4f95-ae90-aa0f4746a092,Zola,Amyes,0 Carpenter Court,Apt 742,Washington,District of Columbia,20380,United States,diners-club-carte-blanche,30246059699051,+1-202-218-0225,zamyesm@pinterest.com
7d56ab94-3c5c-4375-bbc2-d1912c5e4405,Janaye,McMurrugh,6 Starling Center,PO Box 57814,Bradenton,Florida,34205,United States,diners-club-carte-blanche,30181790377115,+1-941-697-7015,jmcmurrughn@illinois.edu
9c69e5ab-1d40-450e-9e5a-aa27771b025c,Pavel,Riha,78501 Acker Avenue,Room 778,Roanoke,Virginia,24048,United States,jcb,3534815706549722,+1-540-966-1992,prihao@so-net.ne.jp
f2266941-337a-40d6-a4c6-0083d99c6ae5,Delia,Gwyneth,8918 Rieder Park,Apt 310,Oklahoma City,Oklahoma,73167,United States,jcb,3543225829323816,+1-405-752-0365,dgwynethp@mlb.com
99a294b3-3e1c-43c4-ba65-f11ef64985ce,Arliene,Spinello,1875 Clove Parkway,16th Floor,Manchester,New Hampshire,03105,United States,jcb,3558454142091262,,aspinelloq@wisc.edu
bf3abb01-e073-49bc-9a38-f24c84e2d9a1,Lucilia,Bristow,21157 Fair Oaks Trail,11th Floor,Arlington,Texas,76096,United States,solo,633436135172587517,+1-817-457-6910,lbristowr@bloglines.com
e4391ccc-9737-49a9-8782-071c3f6e05b8,Lorelle,Sherrin,3 Ryan Crossing,17th Floor,Houston,Texas,77276,United States,mastercard,5420792964940277,+1-713-827-4343,lsherrins@paginegialle.it
4f894a18-23a2-4317-a81f-c7b708a05a8f,Mitzi,Salamon,8459 Marcy Crossing,Apt 489,New York City,New York,10125,United States,mastercard,5100171488138444,+1-212-780-0038,msalamont@google.it
a3ca02f0-f224-4ffd-8d99-501eeb386d61,Marcelo,Hought,88544 Artisan Alley,9th Floor,Youngstown,Ohio,44505,United States,mastercard,5002353127871598,+1-330-442-0308,mhoughtu@parallels.com
7262f163-bc6d-4340-8396-8db007375978,Geri,Harnott,2 Golf Plaza,PO Box 63127,Shreveport,Louisiana,71137,United States,mastercard,5010122090258236,+1-318-764-0394,gharnottv@msn.com
28ad237a-0c02-43b8-9c15-4f86cf57ec47,Urbanus,Gerb,0 Sommers Road,Room 1384,Albany,New York,12237,United States,diners-club-enroute,201421899353424,+1-518-780-1656,ugerbw@clickbank.net
8341fb3f-8e70-4a39-b78f-328e1ca95b13,Marco,Broseman,94 Spenser Road,4th Floor,Denver,Colorado,80255,United States,jcb,3572676245880322,+1-303-245-6753,mbrosemanx@oaic.gov.au
5a2d2a2d-7a9e-4fd0-b572-83e0fb2bf3af,Ase,Vigietti,98 Mayer Lane,20th Floor,Mansfield,Ohio,44905,United States,jcb,3548648279772809,+1-419-436-6523,avigiettiy@google.ca
8ee50c56-1985-4a0d-a1e1-5f4332dcb272,Merrel,Jills,942 Dahle Hill,Apt 564,San Diego,California,92137,United States,maestro,6763710548002060,+1-619-833-4152,mjillsz@newsvine.com
55051de7-ef12-4b15-9ba1-fc1093c56ec6,Sheilah,Hirtz,4418 Clarendon Drive,PO Box 63395,Greenville,South Carolina,29605,United States,jcb,3535167501625995,+1-864-787-0558,shirtz10@parallels.com
5864b7cf-4fb6-420b-a47e-bf21186536e7,Zaria,Gresham,0871 Macpherson Hill,Room 925,Chicago,Illinois,60630,United States,jcb,3580845037814696,+1-773-763-1060,zgresham11@psu.edu
0cc984c6-e888-4dc9-a22a-ff8a4f12ea3c,Kelley,Bowering,786 Toban Trail,Room 1895,Nashville,Tennessee,37245,United States,jcb,3550253035909343,+1-615-952-5503,kbowering12@google.com.hk
894879c2-62bf-4285-937e-960106f156d8,Jed,Kike,516 High Crossing Plaza,Suite 56,Brooklyn,New York,11215,United States,laser,670670009395607054,+1-646-530-3778,jkike13@psu.edu
ac668cfa-b2a9-42d7-8830-d7b663971049,Bobbette,Pavitt,25969 Comanche Point,Room 1215,Sacramento,California,95818,United States,jcb,3540228541091789,,bpavitt14@ask.com
a0ae2372-7c22-4c8d-8b62-348d5733d4dc,Jami,Quakley,97 Paget Pass,Room 1576,Cleveland,Ohio,44197,United States,jcb,3562117364249454,+1-216-566-7775,jquakley15@irs.gov
2b7e6210-adc0-4491-9e74-a4f615e7ea60,Mel,Derycot,8940 Elgar Place,Suite 92,Baltimore,Maryland,21239,United States,diners-club-enroute,201884476870575,+1-410-583-9523,mderycot16@sogou.com
e77ff1ad-3538-4fc6-98bb-326b149c9185,Jillie,Oakshott,520 Meadow Vale Court,Suite 65,Madison,Wisconsin,53716,United States,jcb,3573098438751666,,joakshott17@phoca.cz
55412062-6794-4b5e-b03a-e4e70fe68682,Halette,Doncaster,6 Jenifer Crossing,5th Floor,Dayton,Ohio,45440,United States,switch,6331102020655842,+1-937-661-6403,hdoncaster18@amazon.co.uk
8165b28e-7fca-4a05-8ad0-8e3aefc2533f,Cariotta,Darlington,7313 Springview Drive,PO Box 18103,Sarasota,Florida,34238,United States,americanexpress,372301199754831,+1-941-746-7120,cdarlington19@amazon.de
f42b484d-5d7c-430e-9da9-7ebf2c05e907,Freddie,Messenger,9 Debra Crossing,Suite 74,New Orleans,Louisiana,70183,United States,jcb,3583078236990797,+1-504-326-4676,fmessenger1a@wsj.com
95199407-beac-4458-bad8-c6f8fbb5f78f,Marlo,Burgwin,38 Rowland Park,Suite 62,Seattle,Washington,98185,United States,jcb,3565697439503149,+1-206-918-3954,mburgwin1b@virginia.edu
5e37df45-c98a-4426-a2fb-666b8d79766b,Nappy,Minard,905 Kipling Place,Apt 773,Austin,Texas,78721,United States,maestro,676387103609962586,+1-512-275-3935,nminard1c@howstuffworks.com
cf683a28-9ffb-4230-9b64-0e9ba7c36d38,Obadias,Proudley,19077 Atwood Pass,PO Box 24922,Buffalo,New York,14215,United States,visa-electron,4175002907745852,+1-716-876-7394,oproudley1d@gmpg.org
